season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,target
springer,jan,0,NH,6,N,1,0.24,0.2879,0.81,0,16
springer,jan,1,NH,6,N,1,0.22,0.2727,0.8,0,40
springer,jan,2,NH,6,N,1,0.22,0.2727,0.8,0,32
springer,jan,3,NH,6,N,1,0.24,0.2879,0.75,0,13
springer,jan,4,NH,6,N,1,0.24,0.2879,0.75,0,1
springer,jan,5,NH,6,N,2,0.24,0.2576,0.75,0.0896,1
springer,jan,6,NH,6,N,1,0.22,0.2727,0.8,0,2
springer,jan,7,NH,6,N,1,0.2,0.2576,0.86,0,3
springer,jan,8,NH,6,N,1,0.24,0.2879,0.75,0,8
springer,jan,9,NH,6,N,1,0.32,0.3485,0.76,0,14
springer,jan,10,NH,6,N,1,0.38,0.3939,0.76,0.2537,36
springer,jan,11,NH,6,N,1,0.36,0.3333,0.81,0.2836,56
springer,jan,12,NH,6,N,1,0.42,0.4242,0.77,0.2836,84
springer,jan,13,NH,6,N,2,0.46,0.4545,0.72,0.2985,94
springer,jan,14,NH,6,N,2,0.46,0.4545,0.72,0.2836,106
springer,jan,15,NH,6,N,2,0.44,0.4394,0.77,0.2985,110
springer,jan,16,NH,6,N,2,0.42,0.4242,0.82,0.2985,93
springer,jan,17,NH,6,N,2,0.44,0.4394,0.82,0.2836,67
springer,jan,18,NH,6,N,3,0.42,0.4242,0.88,0.2537,35
springer,jan,19,NH,6,N,3,0.42,0.4242,0.88,0.2537,37
springer,jan,20,NH,6,N,2,0.4,0.4091,0.87,0.2537,36
springer,jan,21,NH,6,N,2,0.4,0.4091,0.87,0.194,34
springer,jan,22,NH,6,N,2,0.4,0.4091,0.94,0.2239,28
springer,jan,23,NH,6,N,2,0.46,0.4545,0.88,0.2985,39
springer,jan,0,NH,0,N,2,0.46,0.4545,0.88,0.2985,17
springer,jan,1,NH,0,N,2,0.44,0.4394,0.94,0.2537,17
springer,jan,2,NH,0,N,2,0.42,0.4242,1,0.2836,9
springer,jan,3,NH,0,N,2,0.46,0.4545,0.94,0.194,6
springer,jan,4,NH,0,N,2,0.46,0.4545,0.94,0.194,3
springer,jan,6,NH,0,N,3,0.42,0.4242,0.77,0.2985,2
springer,jan,7,NH,0,N,2,0.4,0.4091,0.76,0.194,1
springer,jan,8,NH,0,N,3,0.4,0.4091,0.71,0.2239,8
springer,jan,9,NH,0,N,2,0.38,0.3939,0.76,0.2239,20
springer,jan,10,NH,0,N,2,0.36,0.3485,0.81,0.2239,53
